filename,hand_x1,hand_y1,hand_z1,hand_x2,hand_y2,hand_z2,hand_x3,hand_y3,hand_z3,hand_x4,hand_y4,hand_z4,hand_x5,hand_y5,hand_z5,hand_x6,hand_y6,hand_z6,hand_x7,hand_y7,hand_z7,hand_x8,hand_y8,hand_z8,hand_x9,hand_y9,hand_z9,hand_x10,hand_y10,hand_z10,hand_x11,hand_y11,hand_z11,hand_x12,hand_y12,hand_z12,hand_x13,hand_y13,hand_z13,hand_x14,hand_y14,hand_z14,hand_x15,hand_y15,hand_z15,hand_x16,hand_y16,hand_z16,hand_x17,hand_y17,hand_z17,hand_x18,hand_y18,hand_z18,hand_x19,hand_y19,hand_z19,hand_x20,hand_y20,hand_z20,hand_x21,hand_y21,hand_z21
free,0.351077765,0.71656096,-0.000382556,0.168123841,0.640844524,-0.080608375,0.083548844,0.516697645,-0.114749908,0.075801611,0.411575228,-0.165991873,0.074133754,0.33441332,-0.215373099,0.325056285,0.434895933,-0.007012952,0.377178729,0.31080097,-0.052244525,0.412261605,0.234754816,-0.096603662,0.449431896,0.172491878,-0.1229278,0.447937518,0.446103364,-0.013060419,0.513623536,0.314556181,-0.033083025,0.558102608,0.231101379,-0.095307626,0.602035999,0.161731839,-0.147545606,0.551808357,0.477616668,-0.032301724,0.622341633,0.357069075,-0.04340053,0.667052984,0.279928744,-0.088801049,0.700080276,0.215670332,-0.138275623,0.646731377,0.52734971,-0.063581944,0.741123259,0.43579936,-0.084591344,0.79198575,0.379055411,-0.124906935,0.831190228,0.325821429,-0.168635741
free,0.391641766,0.631323457,5.50E-05,0.280312926,0.568187237,-0.032363687,0.264675349,0.502732933,-0.055800132,0.290841877,0.452469468,-0.081111901,0.311454713,0.429378092,-0.122060433,0.331039339,0.435713023,-0.106135376,0.375932515,0.321482092,-0.171308681,0.412352204,0.252448618,-0.232574821,0.436018527,0.189265788,-0.27496773,0.445424855,0.449265361,-0.127019763,0.505649447,0.329684019,-0.209465876,0.558104694,0.251354694,-0.283650726,0.588056803,0.181755155,-0.350981921,0.547687948,0.479872942,-0.143220901,0.613816798,0.36739862,-0.208178625,0.658582926,0.287881672,-0.279954582,0.684010625,0.215010494,-0.346328646,0.646425426,0.523072779,-0.159761921,0.734945238,0.440100044,-0.215111524,0.783976495,0.387593418,-0.259063095,0.820898473,0.331916928,-0.299647093
free,0.383118451,0.646116555,-0.000119103,0.232002914,0.59641093,-0.123026542,0.183104664,0.521849692,-0.187609732,0.172939211,0.454445571,-0.244069397,0.154047191,0.404365212,-0.319332689,0.334252894,0.434920549,-0.12682128,0.37116763,0.320902348,-0.198544919,0.408613145,0.243977189,-0.27078104,0.437834293,0.180933356,-0.326644808,0.450384617,0.445566952,-0.12527363,0.505793571,0.328323364,-0.200402617,0.544744074,0.241306067,-0.279490888,0.574121416,0.169019729,-0.349202991,0.5513466,0.474747241,-0.128510639,0.621250749,0.363296896,-0.200641707,0.666781127,0.28214699,-0.271817148,0.695805013,0.2133376,-0.33574298,0.644727409,0.520720184,-0.148629308,0.738064826,0.438433886,-0.221308589,0.790075779,0.38429141,-0.278814644,0.829038024,0.330673099,-0.326135755
free,0.360717863,0.665025651,-0.000218345,0.174965829,0.613523722,-0.117617272,0.109414488,0.515115738,-0.169475779,0.096660674,0.423334718,-0.217169866,0.088333815,0.345939189,-0.271361649,0.328005791,0.438333213,-0.081086129,0.37334919,0.323751658,-0.149622992,0.411062121,0.2442296,-0.207527295,0.444420457,0.178810596,-0.248524308,0.446627378,0.447977453,-0.082196638,0.508600235,0.327687323,-0.137822941,0.553596079,0.238247067,-0.213581055,0.595811009,0.165792495,-0.278851628,0.553235114,0.479531795,-0.09046533,0.635239244,0.365757227,-0.146175042,0.682991385,0.28469044,-0.208254337,0.716412425,0.216852427,-0.270835578,0.649293244,0.529675305,-0.113849752,0.747169316,0.444892794,-0.178448975,0.798789322,0.387146115,-0.229316786,0.838029146,0.333322734,-0.278205901
free,0.354223251,0.693207383,-0.000418823,0.168980807,0.634711087,-0.099016897,0.091602385,0.519690812,-0.152106136,0.07998082,0.420145214,-0.215852603,0.077032238,0.33905232,-0.2841883,0.328505099,0.437221438,-0.035421792,0.383305073,0.317938626,-0.093595698,0.41730538,0.23941128,-0.149530455,0.44867599,0.175752938,-0.184802443,0.447335631,0.448524117,-0.045134887,0.518146455,0.324085951,-0.079317376,0.564392984,0.236322686,-0.146162689,0.60485816,0.164084792,-0.20579806,0.549732804,0.481761575,-0.069665052,0.632120788,0.362397999,-0.103241712,0.683949053,0.283032417,-0.161741957,0.718602061,0.214930013,-0.22203359,0.642165899,0.532086372,-0.1057311,0.743354619,0.445293665,-0.142328784,0.799860954,0.388227761,-0.18736726,0.840863943,0.334631264,-0.237821728
free,0.355010539,0.707856774,-0.00037189,0.173107907,0.64280659,-0.111355007,0.090802401,0.523419738,-0.173670888,0.075392991,0.418733656,-0.245179206,0.072085977,0.333521545,-0.323118716,0.324336648,0.434684068,-0.038849529,0.384274364,0.316477567,-0.089300267,0.423498333,0.237819389,-0.143684849,0.459212095,0.1724751,-0.182220712,0.445459068,0.446522415,-0.038746011,0.52174902,0.32260108,-0.065859094,0.572007537,0.237639412,-0.130127668,0.617729306,0.164742649,-0.191473648,0.549187124,0.480041981,-0.05617217,0.631871879,0.36108163,-0.087797061,0.683908224,0.283997923,-0.150713697,0.721704721,0.216208488,-0.213087544,0.642109394,0.529801428,-0.084823743,0.740987659,0.443899006,-0.11786256,0.799612343,0.388550311,-0.163320705,0.844764829,0.334091723,-0.213519603
free,0.353737414,0.716502666,-0.00033427,0.17901966,0.646265745,-0.122678749,0.094308197,0.522215664,-0.195180207,0.078843564,0.414838582,-0.275303543,0.074245095,0.326474816,-0.355339527,0.321349084,0.429071158,-0.059413053,0.384908587,0.311146557,-0.117987238,0.429605514,0.233982548,-0.173947945,0.472140104,0.169893563,-0.211374789,0.443757474,0.44196704,-0.053513523,0.526696324,0.31859839,-0.090857998,0.585348547,0.234825373,-0.158312917,0.642697692,0.162445158,-0.223267585,0.549260199,0.475994945,-0.065439269,0.633438945,0.359493226,-0.109743185,0.68723017,0.284301281,-0.178156376,0.731174231,0.218113631,-0.240062222,0.644554377,0.526179492,-0.087682091,0.737437606,0.441400319,-0.129944459,0.794323564,0.386406153,-0.17979826,0.842444062,0.331534088,-0.229953304
free,0.361280501,0.723056912,-0.000324205,0.191839889,0.647942483,-0.13879253,0.102981508,0.518034697,-0.208822399,0.086863518,0.408059478,-0.284253538,0.082921207,0.320299208,-0.353646666,0.319297433,0.422570497,-0.05991194,0.390139014,0.304553747,-0.124641888,0.448611498,0.230734989,-0.190784872,0.506017268,0.170599103,-0.237943769,0.441166818,0.43701005,-0.039950572,0.530002177,0.313024014,-0.074859142,0.600411654,0.233431309,-0.151166573,0.670692503,0.166423261,-0.22660999,0.54350251,0.470834851,-0.038649112,0.626642287,0.355178714,-0.079423547,0.684405684,0.283769965,-0.144486994,0.737138033,0.221803173,-0.203988761,0.634837806,0.520653725,-0.047734339,0.720940471,0.440334797,-0.089105874,0.774517477,0.39011091,-0.130950376,0.824353218,0.339156508,-0.177872524
free,0.356039882,0.721499324,-0.000360187,0.201200798,0.636325836,-0.166680366,0.126207769,0.50751406,-0.243783504,0.125923127,0.396609157,-0.318220913,0.137436181,0.300176442,-0.389309973,0.317543149,0.415809661,-0.042119052,0.407514811,0.297175676,-0.095432408,0.487508029,0.230938286,-0.156254664,0.56933701,0.178160876,-0.207617536,0.432683408,0.435690552,0.003451712,0.531114578,0.313142747,-0.024505619,0.617731512,0.242166415,-0.10188657,0.703266323,0.185724169,-0.181170031,0.52639842,0.468732953,0.025502523,0.613335967,0.357274711,-0.004392839,0.681014895,0.291410208,-0.064216271,0.743898332,0.237260863,-0.121162586,0.609502316,0.515720487,0.030614343,0.692589879,0.441402793,0.000245324,0.751432896,0.397270143,-0.041941971,0.806100249,0.354033202,-0.089107268
free,0.338237286,0.721067429,-0.000371843,0.219288498,0.618179858,-0.177219391,0.177865729,0.487877965,-0.243224204,0.199498981,0.377456427,-0.301318437,0.253470719,0.281742096,-0.354806602,0.293395042,0.408112705,-0.026732458,0.408860475,0.299853444,-0.085177422,0.515116572,0.247164011,-0.157842621,0.61822933,0.20979771,-0.214001179,0.391127378,0.430094242,0.031826224,0.513618171,0.317945302,-0.000510404,0.613273799,0.261560649,-0.08138787,0.716686964,0.214017659,-0.153126925,0.475191623,0.467950314,0.061726116,0.582261443,0.366439521,0.02218858,0.672104955,0.309897721,-0.066449746,0.761856675,0.261702716,-0.144168511,0.549995005,0.517974734,0.078039438,0.636010826,0.452657849,0.042098813,0.708156943,0.4117167,-0.016780768,0.782937169,0.372836232,-0.076212227
